taxonomic name,taxid
Viruses,10239
Myoviridae,10662
Siphoviridae,10699
Podoviridae,10744
Caudovirales,28883
dsRNA viruses,35325
Herpesvirales,548681
Hepadnaviridae,10404
Fuselloviridae,10474
Lipothrixviridae,10477
Tectiviridae,10656
Microviridae,10841
Inoviridae,10860
Mononegavirales,11157
Retroviridae,11632
Leviviridae,11989
ssDNA viruses,29258
Retro-transcribing viruses,35268
ssRNA positive-strand,35278
ssRNA negative-strand,35301
Nidovirales,76804
Rudiviridae,157897
Bicaudaviridae,423358
ssRNA viruses,439488
Picornavirales,464095
Tymovirales,675063
Ligamenvirales,1511857
